"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"19-01-2019";"14:00";-0.2;-6;65;110;14.8;;29.5;0;1018.2;979.3;100
11012;"Kremsmünster";383;"19-01-2019";"14:00";-0.9;-5.9;70;90;11.5;69;22.7;0;1018.1;969.8;100
11022;"Retz";320;"19-01-2019";"14:00";-1.8;-5.1;78;64;14.4;70;19.8;0;1020.6;980.5;100
11035;"Wien/Hohe Warte";203;"19-01-2019";"14:00";-1.1;-5.8;72;95;10.1;103;17.6;0;1020.5;994.3;0
11036;"Wien/Schwechat";183;"19-01-2019";"14:00";-1.8;-5.2;77;40;5.4;;9.4;0;1020.9;997.7;0
11101;"Bregenz";424;"19-01-2019";"14:00";-0.3;-6;65;342;3.2;340;9.7;0;1016.3;962.5;100
11121;"Innsbruck";579;"19-01-2019";"14:00";0.3;-9;50;139;4.7;133;11.2;0;1016.6;945.5;99
11126;"Patscherkofel";2247;"19-01-2019";"14:00";-9.5;-12.7;79;182;13.7;181;25.6;;;764.8;100
11130;"Kufstein";495;"19-01-2019";"14:00";-0.6;-8.4;57;249;5.4;214;14.8;0;1016.8;956.4;100
11150;"Salzburg";430;"19-01-2019";"14:00";-0.6;-8.5;55;160;3.6;;13;0;1017.2;962.4;100
11155;"Feuerkogel";1618;"19-01-2019";"14:00";-5;-13;54;257;6.1;266;10.1;0;;829.2;99
11157;"Aigen im Ennstal";640;"19-01-2019";"14:00";-6.2;-10.4;76;199;2.9;183;5.4;0;1020.3;939.3;100
11171;"Mariazell";866;"19-01-2019";"14:00";-2.4;-8.2;66;177;20.5;179;31.3;0;1017.6;913.5;100
11190;"Eisenstadt";184;"19-01-2019";"14:00";-1.1;-5.3;73;70;9.7;102;16.6;0;1020.4;997.4;0
11204;"Lienz";659;"19-01-2019";"14:00";0.6;-4.8;67;126;7.6;128;15.8;0;1018.6;937.9;46
11240;"Graz/Flughafen";340;"19-01-2019";"14:00";-0.8;-5.3;72;160;5.4;;7.6;0;1020.4;975.2;0
11244;"Bad Gleichenberg";280;"19-01-2019";"14:00";0.3;-5.5;65;110;12.2;91;29.9;0;1020.4;986.6;0
11265;"Villacher Alpe";2140;"19-01-2019";"14:00";-10.9;-12.2;91;252;14;248;21.6;0;;774.8;84
11331;"Klagenfurt/Flughafen";447;"19-01-2019";"14:00";-0.9;-4.2;78;219;1.8;283;6.5;0;1020.2;964.3;0
11343;"Sonnblick";3105;"19-01-2019";"14:00";-15.1;-18.1;80;263;9.7;272;13;;;683.5;100
11389;"St. Pölten";270;"19-01-2019";"14:00";-0.7;-5.2;72;30;18.4;42;34.9;0;1019.3;985.6;0
