x;y;z;phenomenonTimeUTC;thingTitle;sensorFOI;sensorType;resultTimeUTC;windowResult
13.03872789;47.82323294;426;2019-01-31T09:06:00Z;Window NEQ0357043;window;IQ-Lab window status red;2019-01-31T09:06:00Z;0
13.0397183;47.82364244;417;2019-01-31T09:06:00Z;Window NEQ1818968;window;iDEAS:lab NEQ1818968;2019-01-31T09:06:00Z;0
13.03862503;47.82340157;426;2019-01-31T09:06:00Z;Window 0007D5699E96A3;window;IQ-Lab window status green;2019-01-31T09:06:00Z;0
13.0627367;47.88018491;575;2019-01-31T09:06:00Z;Window 0007D5699E951E;window;2 UM window (front right);2019-01-31T09:06:00Z;0
13.06241341;47.88006943;571.5;2019-01-31T09:06:00Z;Window 0007D5699E912F;window;1 UM window (front left);2019-01-31T09:06:00Z;1
13.06282906;47.8802189;575;2019-01-31T09:06:00Z;Window 0007D5699E92AD;window;2 UM window (back right);2019-01-31T09:06:00Z;0
13.06250935;47.88010517;570.5;2019-01-31T09:06:00Z;Window 0000D7098E42FE;window;Thing 0000D7098E42FE (window back right);2019-01-31T09:06:00Z;1
13.06242341;47.8800734;571.5;2019-01-31T09:06:00Z;Window 0007D5699E92D3;window;1 UM window (front right);2019-01-31T09:06:00Z;1
13.06282906;47.8802189;574;2019-01-31T09:06:00Z;Window 0000D7098E430C;window;Window 2UM (front right);2019-01-31T09:06:00Z;0
13.06283971;47.88022318;575;2019-01-31T09:06:00Z;Window 0007D5699E97C2;window;2 UM window (back left);2019-01-31T09:06:00Z;0
